,cws_name,chemical_species,contaminant_level,county,pws_id,pop_served,state,unit_measurement,value,year,fips,state_fips
0,CALIFORNIA WATER SERVICE - LIVERMORE,Uranium,0,Alameda,CA0110003,57200,California,micrograms/L,1.54,2000,6001,6
1,CITY OF LIVERMORE,Uranium,0,Alameda,CA0110011,26400,California,micrograms/L,1.64,2000,6001,6
2,CITY OF PLEASANTON,Uranium,0,Alameda,CA0110008,70600,California,micrograms/L,1.64,2000,6001,6
3,DUBLIN SAN RAMON SERVICES DISTRICT,Uranium,0,Alameda,CA0110009,72500,California,micrograms/L,1.64,2000,6001,6
4,NORRIS CANYON PROPERTY OWNERS ASSN,Uranium,0,Alameda,CA0103040,100,California,micrograms/L,4.51,2000,6001,6
5,PARKS RFTA,Uranium,0,Alameda,CA0110700,1800,California,micrograms/L,1.64,2000,6001,6
6,TRAILER HAVEN MOBILE HOME PARK,Uranium,0,Alameda,CA0103041,240,California,micrograms/L,2.7,2000,6001,6
7,ZONE 7 WATER AGENCY,Uranium,0,Alameda,CA0110010,40,California,micrograms/L,1.64,2000,6001,6
8,ALAMEDA COUNTY WATER DISTRICT,Uranium,0,Alameda,CA0110001,328325,California,micrograms/L,0.64,2001,6001,6
9,CITY OF HAYWARD,Uranium,0,Alameda,CA0110006,146398,California,micrograms/L,0.64,2001,6001,6
